organization,website_address
전라북도청,http://www.jeonbuk.go.kr/board/list.jeonbuk?boardId=JEONBUK_ANNOUNCE&categoryCode1=jeonbuk&menuCd=DOM_000000102001002001&contentsSid=1082&cpath=
전라북도 고창군,http://www.gochang.go.kr/index.gochang?menuCd=DOM_000000503002002000
전라북도 군산시,http://www.gunsan.go.kr/index.gunsan?contentsSid=1#link
전라북도 김제시,http://www.gimje.go.kr/schedule/list.gimje;jsessionid=rIBtwr5nrW5v64tpNa3bWefCsl6hIzbi43i4NkjVe8Zs8B4aMQSaOTArhoaod1s7.was01_servlet_engine8?boardId=BBS_0000028&menuCd=DOM_000000110005002000&contentsSid=2884&cpath=
전라북도 남원시,http://www.namwon.go.kr/board/list.do?boardId=BBS_0000005&menuCd=DOM_000000202001003000&contentsSid=47&cpath=
전라북도 무주군,http://www.muju.go.kr/index.9is?contentUid=816ac6da5083c5ac015094683c1401ea
전라북도 부안군,http://www.buan.go.kr/board/list.buan?boardId=BBS_0000191&menuCd=DOM_000000103001003000&contentsSid=472&cpath=
전라북도 순창군,http://www.sunchang.go.kr/index.sunchang?menuCd=DOM_000000112001006000
전라북도 완주군,http://www.wanju.go.kr/index.wanju?menuCd=DOM_000000102002002000
전라북도 익산시,http://www.iksan.go.kr/index.iksan?menuCd=DOM_000002003009003000
전라북도 임실군,http://www.imsil.go.kr/index.sko?menuCd=AA03005006000
전라북도 장수군,http://www.jangsu.go.kr/index.jangsu?menuCd=DOM_000000103001004000
전라북도 전주시,http://www.jeonju.go.kr/planweb/board/list.9is?contentUid=9be517a74f8dee91014f919cce220c7b&boardUid=9be517a74f8dee91014f90f9996c0740&contentUid=9be517a74f8dee91014f919cce220c7b
전라북도 전주 덕진구,http://deokjingu.jeonju.go.kr/planweb/board/list.9is?contentUid=9be517a74f72e96b014f865e035819a5&boardUid=9be517a74f72e96b014f8633420217ec&contentUid=9be517a74f72e96b014f865e035819a5
전라북도 전주 완산구,http://wansangu.jeonju.go.kr/planweb/board/list.9is?contentUid=9be517a74f72e96b014f827455150362&boardUid=9be517a74f72e96b014f8270bd7b0341&contentUid=9be517a74f72e96b014f827455150362
전라북도 정읍시,http://www.jeongeup.go.kr/board/view.jeongeup?menuCd=DOM_000000101001001000&boardId=BBS_0000012&contentsSid=1&startPage=1&dataSid=223584
전라북도 진안군,http://www.jinan.go.kr/index.sko?menuCd=MM03001004000
전라남도청,http://www.jeonnam.go.kr/J0203/boardList.do?menuId=jeonnam0203000000
전라남도 강진군,http://www.gangjin.go.kr/portal/contents.do?key=869
전라남도 고흥군,http://www.goheung.go.kr/
전라남도 곡성군,http://www.gokseong.go.kr/main/?pid=441
전라남도 광양시,http://www.gwangyang.go.kr/board/list.gwangyang?boardId=BBS_0000107&menuCd=DOM_000000103004002000&contentsSid=1809&cpath=
전라남도 구례군,http://www.gurye.go.kr/kr/public_info/05/002/index.
전라남도 나주시,http://www.naju.go.kr/www/administration/notice/legislation
전라남도 담양군,http://www.damyang.go.kr/index.damyang?menuCd=DOM_000000101002002000
전라남도 목포시,www.mokpo.go.kr
전라남도 무안군,http://www.muan.go.kr/www/openmuan/notification/announcement_notice
전라남도 보성군,http://www.boseong.go.kr/index.boseong?menuCd=DOM_000000106001004000
전라남도 순천시,http://www.suncheon.go.kr/kr/news/0001/0001/0001/
전라남도 여수시,"http://www.yeosu.go.kr/home/pj/gosi_list.do?menuId=yeosu0501050100&LIST_GUBUN=&NOT_ANCMT_SE_CODE=01,04"
전라남도 신안군,http://www.shinan.go.kr/home/www/openinfo/participation_07/participation_07_04/page.wscms
전라남도 영광군,http://www.yeonggwang.go.kr/subpage/?site=headquarter&mn=1076
전라남도 영암군,http://www.yeongam.go.kr/home/www/open_information/yeongam_news/announcement
전라남도 완도군,http://www.wando.go.kr/www/administration/administration_info/announcement_notice
